url,title,published_date,predicted_label_bert,predicted_label_claude,predicted_label_deepseek,predicted_label_gemini
http://www.bbc.co.uk/news/55273817,Covid: Record deaths in Germany and Russia - BBC News,2020/12/11,LEFT,Right,Center,Center
http://www.bbc.co.uk/news/58486791,Russian emergencies minister Zinichev dies on Arctic drill - BBC News,2021/9/8,RIGHT,Center,Center,Center
http://www.bbc.co.uk/news/60513452,Ukraine conflict: Many misleading images have been shared online - BBC News,2022/2/25,LEFT,Center,Center,Center
http://www.bbc.co.uk/news/60528276,Ukraine conflict: Further false images shared online - BBC News,2022/2/25,LEFT,Center,Center,Center
http://www.bbc.co.uk/news/61357256,Italy orders seizure of yacht linked to Putin - BBC News,2022/5/7,CENTER,Right,Center,Center
http://www.bbc.co.uk/news/61522123,Which countries are doing the most to tackle energy bills? - BBC News,2022/5/25,CENTER,Center,Center,Center
http://www.bbc.co.uk/news/63304224,What is austerity and where could 'eye-watering' cuts fall now? - BBC News,2022/11/13,CENTER,Right,Right,Right
http://www.bbc.co.uk/news/64240404,Ukraine war: Who controls Soledar and why it matters - BBC News,2023/1/11,CENTER,Center,Center,Center
http://www.bbc.co.uk/news/64254139,Andrew Bagshaw and Chris Parry: Piecing together last known movements of missing Brits in Ukraine - BBC News,2023/1/25,RIGHT,Right,Center,Center
http://www.bbc.co.uk/news/65042314,British Gas boss takes ¡ê3.7m bonus despite criticism - BBC News,2023/3/22,CENTER,Right,Left,Left
http://www.bbc.co.uk/news/65507074,Ukraine accuses Russia of phosphorus attack on Bakhmut - BBC News,2023/5/6,RIGHT,Center,Left,Center
http://www.bbc.co.uk/news/66779639,Ukraine claims to retake Black Sea drilling rigs from Russian control - BBC News,2023/9/11,CENTER,Right,Center,Center
http://www.bbc.co.uk/news/articles/c03331gyx71o,Newspaper headlines: Labour 'changing gender plans' and 'betting investigation widens' - BBC News,2024/6/23,CENTER,Right,Right,Right
http://www.bbc.co.uk/news/articles/c033eyyr20do,Vladimir Putin lays out terms for Ukraine ceasefire - BBC News,2024/6/14,RIGHT,Right,Right,Center
http://www.bbc.co.uk/news/articles/c035d05je2jo,"UK must be ready for war in three years, says Army head - BBC News",2024/7/23,RIGHT,Right,Right,Center
http://www.bbc.co.uk/news/articles/c0473y0p0ego,Ukraine's collaboration law - are some being unfairly punished? - BBC News,2024/8/22,LEFT,Center,Left,Center
http://www.bbc.co.uk/news/articles/c047579lzklo,Syria rebel leader vows to shut down notorious Assad prisons - BBC News,2024/12/12,RIGHT,Left,Left,Center
http://www.bbc.co.uk/news/articles/c047918g3deo,Newspaper headlines: 'French right humiliates Macron' and England 'Saved by the Bell' - BBC News,2024/7/1,LEFT,Right,Right,Center
http://www.bbc.co.uk/news/articles/c047zrzr2xro,Ukraine war: US gives $20bn to Kyiv funded by seized Russian assets - BBC News,2024/12/10,RIGHT,Center,Left,Center
http://www.bbc.co.uk/news/articles/c06kxke71y4o,Newspaper headlines: Pm urged to up defence spend and strike on Kyiv hospital - BBC News,2024/7/9,CENTER,Right,Left,Center
http://www.bbc.co.uk/news/articles/c07912lxx33o,"Mystery parcel fires were 'test runs' to target cargo flights to US, says Poland - BBC News",2024/11/5,RIGHT,Right,Right,Center
http://www.bbc.co.uk/news/articles/c07e0m9r35jo,The journalist who spied on me - before Putin brought him back to Russia - BBC News,2024/9/1,RIGHT,Right,Left,Center
http://www.bbc.co.uk/news/articles/c07n811zyp2o,Zelensky looks to Biden to back Ukraine 'victory plan' - BBC News,2024/9/25,CENTER,Left,Center,Center
http://www.bbc.co.uk/news/articles/c0dmwjnmp4mo,"Ukraine war: Russian air strike leaves 100,000 with no power - BBC News",2024/7/6,LEFT,Left,Left,Center
http://www.bbc.co.uk/news/articles/c0e1zlpxvw7o,'The lights go out when it rains' - school rebuilding plan missing targets - BBC News,2024/10/13,CENTER,Center,Left,Center
http://www.bbc.co.uk/news/articles/c0e852r50x7o,Ukraine calls on Mongolia to arrest Putin ahead of visit - BBC News,2024/8/30,RIGHT,Left,Left,Center
http://www.bbc.co.uk/news/articles/c0jqjwdyl1ko,"Kim Jong Un wants Trump back, elite defector tells BBC - BBC News",2024/8/2,CENTER,Right,Center,Center
http://www.bbc.co.uk/news/articles/c0kjgxj40y1o,Checkmate for Russia as global chess ban upheld - BBC News,2024/9/22,RIGHT,Left,Left,Center
http://www.bbc.co.uk/news/articles/c0kjjlxjzr5o,Newspaper headlines: 'Huw Edwards' 'shame' and 'reputation in tatters' - BBC News,2024/9/16,CENTER,Right,Right,Center
http://www.bbc.co.uk/news/articles/c0kr240gd18o,Ukraine's hopes and challenges after long wait for F16s - BBC News,2024/7/26,CENTER,Center,Center,Center
http://www.bbc.co.uk/news/articles/c0kr91zqp0lo,Germany plans to halve military aid for Ukraine - BBC News,2024/7/18,CENTER,Center,Center,Center
http://www.bbc.co.uk/news/articles/c0lg9y791kyo,Cadbury dropped from royal warrant list after 170 years - BBC News,2024/12/23,CENTER,Center,Center,Center
http://www.bbc.co.uk/news/articles/c0lp8wen9zgo,Georgian election: Stark choice for Georgians seeking future as part of Europe - BBC News,2024/10/25,CENTER,Right,Left,Center
http://www.bbc.co.uk/news/articles/c0lwk638zgyo,Six dead in market attack as Ukraine remembers war dead - BBC News,2024/10/1,CENTER,Center,Left,Center
http://www.bbc.co.uk/news/articles/c0mzgv4x901o,Zelensky says Ukraine-Russia war will 'end sooner' with Trump as president - BBC News,2024/11/16,CENTER,Right,Center,Right
http://www.bbc.co.uk/news/articles/c0mzjm7knw7o,"Ukraine fires US-supplied longer-range missiles into Russia, Moscow says - BBC News",2024/11/19,RIGHT,Right,Center,Center
http://www.bbc.co.uk/news/articles/c0mzk7e31pjo,Elon Musk met Iran's UN ambassador in New York - BBC News,2024/11/15,RIGHT,Right,Right,Right
http://www.bbc.co.uk/news/articles/c0q0wvyqzwdo,War in Ukraine: The woman turning amputees into 'superhumans' - BBC News,2024/12/10,CENTER,Center,Center,Center
http://www.bbc.co.uk/news/articles/c0q0zvvjj19o,Barnier vote: Why France's turmoil is grave concern for Europe - BBC News,2024/12/4,LEFT,Right,Center,Center
http://www.bbc.co.uk/news/articles/c0qd7wpgvjgo,Ukraine: Cornish family pay tribute to son killed in action - BBC News,2024/11/10,CENTER,Center,Center,Center
